drug_id,model1,model2,t_stat,p_value
0.0,con,ens,1.2415321363147442,0.224357630879745
0.0,con,esn,0.8709200044184042,0.39095061375217643
0.0,con,ar,0.33874640082964563,0.7372413396718118
0.0,con,arc,0.9310957645853613,0.35949098126240286
0.0,ens,esn,-0.5690430229372796,0.5737081696284501
0.0,ens,ar,-1.0506921004179193,0.30207720542886085
0.0,ens,arc,-0.4437603338799861,0.6605093483423947
0.0,esn,ar,-0.4533762622768417,0.6536522048745484
0.0,esn,arc,0.34273124085639595,0.7342725543611913
0.0,ar,arc,0.8240788420555825,0.41662120077255216
2.0,con,ens,-0.32817114504655487,0.7453137370829934
2.0,con,esn,-1.335972920209023,0.19271026886114606
2.0,con,ar,0.36937505052836744,0.7147293692717327
2.0,con,arc,0.4939457389379942,0.6253390960631524
2.0,ens,esn,-2.7326161662679467,0.010945384802517263
2.0,ens,ar,1.3534872574441428,0.18712345400719957
2.0,ens,arc,1.5646587383815937,0.1293093904661783
2.0,esn,ar,2.2419579876371163,0.03338013904723529
2.0,esn,arc,2.3376933392928465,0.027063443502697182
2.0,ar,arc,0.11577928606468538,0.9086842959533646
4.0,con,ens,1.2511209534361225,0.22162305806561286
4.0,con,esn,-0.8345627488769639,0.41128757713831643
4.0,con,ar,0.7847495257540321,0.43943205964749055
4.0,con,arc,2.2295572154354946,0.03428928615791965
4.0,ens,esn,-1.9888884833603526,0.0569350000360013
4.0,ens,ar,-0.2592346209239096,0.7974205495389962
4.0,ens,arc,2.373229199119223,0.025010472230692665
4.0,esn,ar,1.2538610145180231,0.2206406342126426
4.0,esn,arc,2.6416118122366368,0.013555768839631433
4.0,ar,arc,1.145179492707459,0.2621846806384534
5.0,con,ens,0.21261853630583646,0.8331119981582336
5.0,con,esn,-1.0396039814312736,0.30711437874679537
5.0,con,ar,0.6742650631613175,0.5054825624586212
5.0,con,arc,0.08106952381158376,0.935943583061823
5.0,ens,esn,-0.8659713947744141,0.3936139515324407
5.0,ens,ar,0.8372375205417293,0.4093059892925274
5.0,ens,arc,-0.15869801548978782,0.8750068175186906
5.0,esn,ar,1.3907986262009764,0.17486725557918048
5.0,esn,arc,0.7016204609472713,0.48850875004313066
5.0,ar,arc,-1.5505426192328224,0.13185711162845595
6.0,con,ens,0.3460998769021405,0.7317661077267568
6.0,con,esn,-0.7284394904198952,0.47218627576510197
6.0,con,ar,1.3093594329597746,0.20069232351285857
6.0,con,arc,0.29174324185300377,0.7725597630773272
6.0,ens,esn,-1.0861276719837913,0.28636857817874395
6.0,ens,ar,0.7893919671461753,0.4362898440025864
6.0,ens,arc,-0.13396676011590233,0.8943542572287361
6.0,esn,ar,1.8861980716651239,0.06931922737985505
6.0,esn,arc,1.0498024805748754,0.3024792002384617
6.0,ar,arc,-1.8403723704953063,0.07596827027865242
8.0,con,ens,1.294039481343323,0.20622404121969168
8.0,con,esn,1.530826432923527,0.1370333597862311
8.0,con,ar,1.7327365439227072,0.09414525994794408
8.0,con,arc,2.1891664165093863,0.03708322183899133
8.0,ens,esn,0.532309412544176,0.5987108085091171
8.0,ens,ar,0.7449137564099593,0.4625310046812733
8.0,ens,arc,1.547090148640997,0.13307090077750602
8.0,esn,ar,0.16094973643229046,0.8732886516392735
8.0,esn,arc,0.8448637125703751,0.40534846698606697
8.0,ar,arc,0.9452694734061262,0.3526076620295392
10.0,con,ens,0.75187201455424,0.45818724947885736
10.0,con,esn,-2.1218034065464852,0.04252068753277626
10.0,con,ar,0.6424387307908616,0.5256351610941079
10.0,con,arc,0.4755009111642993,0.6379922273400489
10.0,ens,esn,-2.7524359414588435,0.010095697005431909
10.0,ens,ar,0.06404306056943468,0.9493753599809207
10.0,ens,arc,-0.24658948256834295,0.8069631443993925
10.0,esn,ar,1.855122952446849,0.07377060889074519
10.0,esn,arc,2.0577819764994634,0.04869945378289563
10.0,ar,arc,-0.42372075981928703,0.6748958480210483
11.0,con,ens,-1.5030265509464278,0.1436449103953008
11.0,con,esn,-0.9682013876159702,0.34094974618969276
11.0,con,ar,-1.4668936669683315,0.15316657943136766
11.0,con,arc,-2.451725358111847,0.0204776205108903
11.0,ens,esn,0.7324163070703605,0.46979310861680057
11.0,ens,ar,-0.21835941103239676,0.8286784475443468
11.0,ens,arc,-2.1428848171885786,0.04064437025690436
11.0,esn,ar,-0.5296607647671538,0.6003789968514803
11.0,esn,arc,-2.051424262965151,0.049354394603170294
11.0,ar,arc,-1.8131845848953851,0.08016633628672454
12.0,con,ens,0.3423345218835893,0.7346556369495796
12.0,con,esn,-0.4832518981280751,0.6326743514397197
12.0,con,ar,1.1270448011109184,0.26928985833927116
12.0,con,arc,1.1327993656251063,0.26690593952225455
12.0,ens,esn,-0.6322471259117998,0.5323546019732444
12.0,ens,ar,1.408210099734731,0.1700760260975473
12.0,ens,arc,1.3736331403745166,0.18045451527898243
12.0,esn,ar,1.4478648107040453,0.15876037598877707
12.0,esn,arc,1.5929225987506286,0.12240538809145636
12.0,ar,arc,-0.29778990601598176,0.768061960225281
14.0,con,ens,-1.0952279629804678,0.2830907617425919
14.0,con,esn,-0.5816650443195075,0.5656175276165274
14.0,con,ar,-0.3303028060482325,0.7437205133041411
14.0,con,arc,-0.2250188726172365,0.8236589745589887
14.0,ens,esn,0.34630204465657605,0.7317999519575821
14.0,ens,ar,1.0467900058902755,0.3044775243789883
14.0,ens,arc,1.6460100732008045,0.11135452965905925
14.0,esn,ar,0.3091181453254189,0.7596045011292255
14.0,esn,arc,0.44963192174836303,0.6565648549709504
14.0,ar,arc,0.2521887744850639,0.8028050452430506
16.0,con,ens,-0.7906361519208038,0.43557473974249994
16.0,con,esn,0.6130369985695224,0.544630111145296
16.0,con,ar,1.0720706444696053,0.29252926228010917
16.0,con,arc,1.1676931059870896,0.25244175276645475
16.0,ens,esn,1.0290201516973707,0.31197678868241874
16.0,ens,ar,1.644643920207962,0.11084168940638385
16.0,ens,arc,1.9865865485324217,0.05648994457192664
16.0,esn,ar,0.7479285965081918,0.4605258451450973
16.0,esn,arc,0.7619245246515995,0.4522575450181825
16.0,ar,arc,-0.5007191480142267,0.6203480301260974
17.0,con,ens,0.520680597385795,0.6065423594957069
17.0,con,esn,-0.29565298423900027,0.7696017722290058
17.0,con,ar,0.08218432601784202,0.9350647667295506
17.0,con,arc,0.26864510843433376,0.7901047348658538
17.0,ens,esn,-0.8957100681141474,0.37778265095620933
17.0,ens,ar,-0.5445199224705475,0.59024667804452
17.0,ens,arc,-0.2528646047078541,0.802156695017548
17.0,esn,ar,0.448626989800037,0.6570351255007931
17.0,esn,arc,0.6855782577792096,0.4984234082213168
17.0,ar,arc,0.3607958071002813,0.7208670703746044
18.0,con,ens,-0.06841636378803417,0.9459237568136369
18.0,con,esn,-0.2768289630918087,0.7838750590472096
18.0,con,ar,0.9038659633219212,0.37351398601733554
18.0,con,arc,1.0603999955838719,0.29771478856623995
18.0,ens,esn,-0.1822789332654411,0.8566320658736319
18.0,ens,ar,1.5061963657383126,0.14283289751191602
18.0,ens,arc,1.5784537251346025,0.12530863858073166
18.0,esn,ar,0.9208899537864377,0.36470557789168234
18.0,esn,arc,1.159164128311916,0.2558451963112979
18.0,ar,arc,-0.05069274247437711,0.959917916185369
20.0,con,ens,1.206094114565554,0.2375292392914596
20.0,con,esn,-0.617186401734334,0.5419277801551801
20.0,con,ar,1.9051487635872908,0.06672010618713037
20.0,con,arc,1.9279657526179808,0.06370311364418739
20.0,ens,esn,-1.8702740078483668,0.07157044114794826
20.0,ens,ar,1.2861697276252926,0.20855822880807262
20.0,ens,arc,2.034610121520479,0.05112411151992274
20.0,esn,ar,2.1081353912789518,0.04377800246761468
20.0,esn,arc,2.2284034699092876,0.03376865270261054
20.0,ar,arc,-0.42516287981857953,0.6738562744517277
21.0,con,ens,0.35218087162047745,0.7273396208045844
21.0,con,esn,1.7118456028762503,0.09798175746284193
21.0,con,ar,1.1070382879048313,0.2776976295354382
21.0,con,arc,1.7859356414753809,0.08494516987669419
21.0,ens,esn,1.4024677508609562,0.171766238690661
21.0,ens,ar,1.380204487996761,0.1784447743570071
21.0,ens,arc,1.9408134182441896,0.06240930602421702
21.0,esn,ar,-0.289507769281543,0.7743258056389627
21.0,esn,arc,0.6543472917909658,0.5182271698254248
21.0,ar,arc,0.80644425608906,0.4267836373618231
22.0,con,ens,0.988264521043255,0.33148681544189396
22.0,con,esn,0.8732192869688064,0.3899711424429536
22.0,con,ar,1.6780227057027628,0.1044718294256088
22.0,con,arc,1.6775081128721891,0.10457328783522203
22.0,ens,esn,-0.35465470404543953,0.7255055983330312
22.0,ens,ar,1.2260111617401868,0.23040614559127554
22.0,ens,arc,0.6074899867208668,0.5484213814160817
22.0,esn,ar,1.6879702382797084,0.10252668823100411
22.0,esn,arc,0.7736632776955563,0.4456131839001448
22.0,ar,arc,-0.5934191942698304,0.5576643098225078
23.0,con,ens,-0.059942065470515726,0.9526432587757228
23.0,con,esn,-1.2903476350917364,0.2078715549191103
23.0,con,ar,0.317488778131189,0.7533150531582409
23.0,con,arc,-0.4457911264718473,0.6593024494277548
23.0,ens,esn,-2.1311400437256025,0.04233305667180687
23.0,ens,ar,1.0444325417875537,0.3055466243193374
23.0,ens,arc,-1.1620349957107217,0.25539060437362693
23.0,esn,ar,2.0452136465674418,0.050692143490078986
23.0,esn,arc,1.5265420976002888,0.13850542191791285
23.0,ar,arc,-1.905527353441648,0.06741180033143933
25.0,con,ens,1.3153363283131485,0.19906690887137324
25.0,con,esn,1.1450743383389257,0.26187206388507894
25.0,con,ar,1.1734938777832034,0.25048371645375295
25.0,con,arc,1.5089560710032484,0.14251248801053498
25.0,ens,esn,-0.22067660829935648,0.8269454919723275
25.0,ens,ar,0.6248644454775901,0.5371193811637984
25.0,ens,arc,0.690163685129456,0.49577258604469177
25.0,esn,ar,0.699201929055481,0.4901938360571929
25.0,esn,arc,0.9058534204924209,0.37274290209856764
25.0,ar,arc,-0.08748510673646454,0.9309086057346003
26.0,con,ens,1.9367967512618227,0.06292058658027701
26.0,con,esn,-0.08815065188350037,0.9303843942114669
26.0,con,ar,1.1312032850633342,0.26756560246274963
26.0,con,arc,1.1351288510099693,0.2659452769784444
26.0,ens,esn,-1.5796934588013953,0.12540913757212196
26.0,ens,ar,-1.015056694576202,0.3187702193491491
26.0,ens,arc,-0.8216228562359963,0.4182330064837898
26.0,esn,ar,1.2693172701321922,0.2147775125246778
26.0,esn,arc,1.5114051778399005,0.14189023328075034
26.0,ar,arc,-0.07471656159051976,0.9409714917022616
27.0,con,ens,0.6380992658000645,0.5285937235357312
27.0,con,esn,-2.0572501498385694,0.04908422133748543
27.0,con,ar,1.1999875824334678,0.24019933540574367
27.0,con,arc,1.3365692785985264,0.1921232956415724
27.0,ens,esn,-2.5356925604513476,0.017087052498563283
27.0,ens,ar,1.393731911579682,0.17436294078502676
27.0,ens,arc,1.7987285555372328,0.08285069393193872
27.0,esn,ar,2.6350760755007507,0.013555218171930583
27.0,esn,arc,2.798064147786199,0.009197934564373471
27.0,ar,arc,-0.1768981781996466,0.8608617601170894
28.0,con,ens,0.789021213248168,0.43673001252657573
28.0,con,esn,-1.4264784767453624,0.16478618990319074
28.0,con,ar,1.0739618751459996,0.2920082532044101
28.0,con,arc,0.688973458757578,0.4965098932899449
28.0,ens,esn,-2.57683226313485,0.015532612087165276
28.0,ens,ar,0.5803576416982116,0.5663152579748261
28.0,ens,arc,0.02342306718967689,0.9814789377650708
28.0,esn,ar,2.1097788948183407,0.043944235632418185
28.0,esn,arc,1.894179874407684,0.06857382436371326
28.0,ar,arc,-0.9638994230170385,0.34334788179851017
29.0,con,ens,0.7834969117016698,0.4399128730885047
29.0,con,esn,-1.9717900484938302,0.05858659667374486
29.0,con,ar,0.9485590643206402,0.3509606050934697
29.0,con,arc,-0.03764622943176226,0.9702368765907314
29.0,ens,esn,-3.3205131680978535,0.0025054569317174325
29.0,ens,ar,0.7499088175261793,0.45956477431277387
29.0,ens,arc,-1.8029267894906544,0.08217303462928745
29.0,esn,ar,2.8532077178221895,0.008049820245876485
29.0,esn,arc,2.4238950328054054,0.022065750863620955
29.0,ar,arc,-2.1585726348199334,0.0396046620296749
30.0,con,ens,-0.5660275954617945,0.5758838249720485
30.0,con,esn,0.043062038112422894,0.9659577041551082
30.0,con,ar,-0.5505158847915967,0.586331327638804
30.0,con,arc,0.8237500568905394,0.4170432301623729
30.0,ens,esn,0.4465023588805715,0.6586686894590098
30.0,ens,ar,-0.06604084373998229,0.9478145996701857
30.0,ens,arc,1.4437516706931273,0.15990544371114015
30.0,esn,ar,-0.4223214657417338,0.6760158008766632
30.0,esn,arc,0.7787678806841625,0.44264865111296525
30.0,ar,arc,1.515661843712818,0.1408139606317123
32.0,con,ens,-0.4351744765655331,0.667026909901061
32.0,con,esn,-3.57131994570132,0.0014145009563451471
32.0,con,ar,-1.0873922004338286,0.2868416467778415
32.0,con,arc,-0.6006106923521487,0.5532993703181084
32.0,ens,esn,-2.949320661955261,0.006653633330408064
32.0,ens,ar,-0.9383653395771739,0.3566926753569921
32.0,ens,arc,-0.30238962181318124,0.7647609710098353
32.0,esn,ar,2.713194491211008,0.011665239836815626
32.0,esn,arc,3.714703883858709,0.0009793877336578703
32.0,ar,arc,0.629979594704102,0.5342057673733448
33.0,con,ens,0.37872626459713554,0.7060539982945837
33.0,con,esn,-1.9588053986663523,0.054178293374623335
33.0,con,ar,-0.11756699287664849,0.9067523198892763
33.0,con,arc,-0.7533417920040967,0.45380743535825174
33.0,ens,esn,-2.5274110828984955,0.01378545463303038
33.0,ens,ar,-0.731671144562211,0.4668470781623282
33.0,ens,arc,-2.0922093789598866,0.04010082840204611
33.0,esn,ar,2.1295619817091653,0.036777559739377665
33.0,esn,arc,1.8063423501311622,0.07522573059686287
33.0,ar,arc,-1.2957115183848904,0.19939271399907774
34.0,con,ens,0.13002110899931607,0.8974793227934115
34.0,con,esn,-3.1880469214655887,0.003509632349365856
34.0,con,ar,0.2450149631243079,0.8082316795296413
34.0,con,arc,0.5401953349633117,0.5933334329273163
34.0,ens,esn,-2.813185686289453,0.008868631074724078
34.0,ens,ar,0.2302070011826357,0.819604540197044
34.0,ens,arc,0.6942356593008243,0.4932547939249765
34.0,esn,ar,2.341645688259307,0.026542749951996424
34.0,esn,arc,2.808148879111047,0.00897706592910916
34.0,ar,arc,0.4018795455220499,0.6908239063801753
35.0,con,ens,2.3585399499380792,0.025560657137077235
35.0,con,esn,1.5040448393702388,0.14376695870842668
35.0,con,ar,2.0867398175750416,0.0461366442226733
35.0,con,arc,2.2189704627696467,0.034766359507918086
35.0,ens,esn,-0.26060955425555654,0.7963007309087449
35.0,ens,ar,-0.2203026154860808,0.827233896587022
35.0,ens,arc,0.18962531784206552,0.8509707111836672
35.0,esn,ar,0.1821153544601261,0.8568042886078875
35.0,esn,arc,0.41353962637626046,0.6823616069238954
35.0,ar,arc,0.858383897839936,0.39796928186119473
36.0,con,ens,0.27331357263589307,0.7865492692605008
36.0,con,esn,0.22623563871579724,0.8226051733658322
36.0,con,ar,0.31983305489374997,0.7513877818651119
36.0,con,arc,1.0436617710959126,0.305264231052255
36.0,ens,esn,0.061575008956192376,0.95132370061937
36.0,ens,ar,0.14975939846075922,0.8819911461989994
36.0,ens,arc,1.4172388560342966,0.16706787959540695
36.0,esn,ar,0.011734594296488796,0.9907177202526064
36.0,esn,arc,0.5762148072183015,0.5689154933344324
36.0,ar,arc,1.0129176137177833,0.3194765462680306
37.0,con,ens,1.3364148509524088,0.19217311044944782
37.0,con,esn,0.6710054100258668,0.5077150734377609
37.0,con,ar,1.2804541410000596,0.2108915167511478
37.0,con,arc,2.0748788295168685,0.04730276989556396
37.0,ens,esn,-0.5176038647484321,0.6088002276176374
37.0,ens,ar,0.013520157712117245,0.9893086804696165
37.0,ens,arc,0.8700922385947044,0.39164839258862283
37.0,esn,ar,0.5364607322565496,0.5958771357625312
37.0,esn,arc,1.747660451779855,0.0914829658649372
37.0,ar,arc,1.0216994947768572,0.31567005073392224
38.0,con,ens,0.07651888711326969,0.939570489016909
38.0,con,esn,0.44912639139104304,0.6569249034731428
38.0,con,ar,-0.04390864316863352,0.9653003532191315
38.0,con,arc,1.3982652272030505,0.17341443454231362
38.0,ens,esn,0.4127509054890145,0.6830484738253884
38.0,ens,ar,-0.1438453061515238,0.8866908880463121
38.0,ens,arc,1.5570703674607884,0.13109916263091173
38.0,esn,ar,-0.48358301182956037,0.6325806738949766
38.0,esn,arc,1.4212248427244223,0.1666992018767389
38.0,ar,arc,1.2248606118960945,0.2312068395764737
39.0,con,ens,0.4662005995787875,0.6445549019390007
39.0,con,esn,-0.7615268207015219,0.45249126962585606
39.0,con,ar,1.0472803126486943,0.3036209339905097
39.0,con,arc,0.6790425974190463,0.5024947560523836
39.0,ens,esn,-1.3806818937090595,0.17792610748665577
39.0,ens,ar,1.2552802534512846,0.21939824538753575
39.0,ens,arc,0.43407243635193865,0.6674482821324981
39.0,esn,ar,1.7490075839556383,0.09086830579945804
39.0,esn,arc,1.5200329998317221,0.13933168012850883
39.0,ar,arc,-0.9652105926732605,0.34241992076654193
41.0,con,ens,-0.04281610621058208,0.9661415708699974
41.0,con,esn,-1.04683444232887,0.3038230834098117
41.0,con,ar,1.2702110099186932,0.2141065448736144
41.0,con,arc,0.9958225041128995,0.3275734422497969
41.0,ens,esn,-0.8939078572365686,0.3787301508445443
41.0,ens,ar,2.3385089693957117,0.026463481889102244
41.0,ens,arc,2.0209188386675616,0.05260619483539683
41.0,esn,ar,2.164871104456034,0.03876651386832367
41.0,esn,arc,1.9244238187369584,0.06416353409830404
41.0,ar,arc,-1.6206582505017866,0.11591544986848458
42.0,con,ens,0.36307215353178984,0.7191841054007804
42.0,con,esn,-0.9834082613177073,0.3335404486558644
42.0,con,ar,1.292834996350602,0.20627365881312495
42.0,con,arc,0.17290743138293282,0.8639253562358135
42.0,ens,esn,-0.915428711703157,0.36751629689679466
42.0,ens,ar,1.0223981755371647,0.3150460698253016
42.0,ens,arc,-0.05353396363486422,0.9576735602232449
42.0,esn,ar,1.3380036524632122,0.1912932046543881
42.0,esn,arc,0.6482890015549986,0.5218985430499197
42.0,ar,arc,-1.4718504231384921,0.15183121154256174
43.0,con,ens,-0.8943963835505201,0.3784731595548515
43.0,con,esn,-1.153708871033144,0.25803961084668564
43.0,con,ar,-1.7833348986060722,0.08500226283299242
43.0,con,arc,-1.6984681667340664,0.10012559633560107
43.0,ens,esn,-0.20709078237944661,0.8373862474400945
43.0,ens,ar,-2.010952809235284,0.05370865640652692
43.0,ens,arc,-1.9213832869110454,0.06456107975371798
43.0,esn,ar,-1.2150083011465265,0.23416304834001184
43.0,esn,arc,-1.4920518298984935,0.14648512137892333
43.0,ar,arc,-0.8920708822785747,0.37969751046210165
44.0,con,ens,0.5172176417682349,0.6089270210958273
44.0,con,esn,-1.222732714670993,0.23127501584804952
44.0,con,ar,0.7743013405777656,0.4450198405543879
44.0,con,arc,0.26170752889270243,0.7953968240385563
44.0,ens,esn,-1.305192233761013,0.20208879662805113
44.0,ens,ar,0.10005942090565552,0.9209856829422409
44.0,ens,arc,-0.23677805163172858,0.8144935710059152
44.0,esn,ar,1.6866150634588308,0.10240781100299318
44.0,esn,arc,1.370414799028493,0.18107311446343144
44.0,ar,arc,-0.6684723722078044,0.5091184012286164
46.0,con,ens,-0.18001364400698705,0.8583938530897248
46.0,con,esn,-1.120140610517535,0.27184521046508114
46.0,con,ar,-0.08135737390881334,0.9357166583339673
46.0,con,arc,-0.3367882299432713,0.7387017328709056
46.0,ens,esn,-1.2549947993308288,0.21950036926756472
46.0,ens,ar,0.23022390388681524,0.8195341003077143
46.0,ens,arc,-0.37182245855241947,0.712728164062983
46.0,esn,ar,1.3738971855526299,0.1800008758324989
46.0,esn,arc,0.9324089309900521,0.35882362299393955
46.0,ar,arc,-0.5501287664296509,0.586443711841032
47.0,con,ens,0.8170129121963827,0.42058260530565994
47.0,con,esn,-1.2659740444226044,0.21559825769522095
47.0,con,ar,0.6862540736989872,0.4980034685474247
47.0,con,arc,0.4662983567631404,0.6444857674766217
47.0,ens,esn,-2.725464965292915,0.010772404177333746
47.0,ens,ar,0.16440235528607247,0.8705549555812419
47.0,ens,arc,-0.3484517328336987,0.7300179823162884
47.0,esn,ar,1.8401397823047247,0.07600336855056916
47.0,esn,arc,1.7657956713272143,0.08795795880907377
47.0,ar,arc,-0.8032016991152883,0.4283925671046467
48.0,con,ens,0.12846622136757904,0.8986668156433162
48.0,con,esn,0.4331388947448847,0.6681185252434616
48.0,con,ar,0.430802026080008,0.6697975180061377
48.0,con,arc,0.12331821607439937,0.9027058369738767
48.0,ens,esn,0.1260047836717244,0.9005976723561409
48.0,ens,ar,0.4912132012928288,0.626972753952779
48.0,ens,arc,-0.060923739804925554,0.9518378800785195
48.0,esn,ar,0.14722623199306262,0.8839722587547533
48.0,esn,arc,-0.19336073947094812,0.8480243930305155
